,prov,distinct,입학연도,입학자총수,입학남자,입학여자,인구나이,인구연도,인구총수,인구남자,인구여자,입학연도별 입학총수,인구연도별 인구총합,보정치,인구대비입학비율,보정후 인구대비입학비율,입학자비율,초등입학이동지수,초등입학이동지수z점수,,"보정치 = (입학년도별 인구총합/인구연도별 인구총합), 연도별로 입학유예자들로 인한 입학 누락자를 보정하기 위해 산출, 연도별로 입학유예자 규모가 달라 연도별 보정치는 다 다름, 전국인구총합 * 보정치 = 전국입학자수"
100,강원,원주시,2012,3041,1599,1442,6,2011,3094,1615,1479,407210,420797,0.967711272,0.982870071,1.015664589,0.746789126,0.011698145,0.480472799,,
101,강원,원주시,2013,3061,1576,1485,6,2012,3069,1576,1493,422944,435284,0.971650692,0.997393288,1.026493673,0.723736476,0.019174437,0.812543431,,
102,강원,원주시,2014,3415,1764,1651,6,2013,3479,1790,1689,465061,480776,0.96731326,0.981603909,1.014773548,0.734312273,0.010848398,0.442730019,,
103,강원,원주시,2015,3085,1569,1516,6,2014,3151,1617,1534,441255,454993,0.969806129,0.979054268,1.00953607,0.699142219,0.006667069,0.257010119,,
104,강원,원주시,2016,3173,1655,1518,6,2015,3204,1688,1516,422114,435131,0.970084871,0.990324594,1.020863869,0.751692671,0.015683217,0.657475705,,
105,강원,원주시,2017,3285,1649,1636,6,2016,3343,1673,1670,445571,460063,0.968499966,0.982650314,1.014610582,0.73725624,0.010771742,0.439325264,,
106,강원,원주시,2018,3224,1648,1576,6,2017,3289,1678,1611,447106,462352,0.967025124,0.980237154,1.013662551,0.721081802,0.009851817,0.398465417,,
107,강원,원주시,2019,3303,1634,1669,6,2018,3360,1672,1688,462528,478982,0.965647978,0.983035714,1.018006288,0.714118929,0.012858631,0.532017532,,
108,강원,원주시,2020,3008,1537,1471,6,2019,3032,1541,1491,417119,431843,0.965904275,0.992084433,1.027104298,0.721137134,0.019545916,0.829043202,,
109,강원,인제군,2009,322,163,159,6,2008,317,158,159,462768,488710,0.946917395,1.015772871,1.072715399,0.069581302,0.005059632,0.185613402,,
110,강원,인제군,2010,305,165,140,6,2009,322,174,148,470657,487028,0.966385916,0.947204969,0.980151876,0.064803031,-0.001286219,-0.096246981,,
111,강원,인제군,2011,323,167,156,6,2010,328,174,154,441332,457372,0.964930079,0.984756098,1.020546586,0.073187532,0.001503754,0.027673791,,
112,강원,인제군,2012,279,146,133,6,2011,292,161,131,407210,420797,0.967711272,0.955479452,0.987360053,0.068515017,-0.000866026,-0.077583513,,
113,강원,인제군,2013,291,140,151,6,2012,295,145,150,422944,435284,0.971650692,0.986440678,1.015221505,0.068803435,0.001047292,0.007399348,,
114,강원,인제군,2014,310,159,151,6,2013,316,167,149,465061,480776,0.96731326,0.981012658,1.014162318,0.066657922,0.000944031,0.002812852,,
115,강원,인제군,2015,282,138,144,6,2014,288,142,146,441255,454993,0.969806129,0.979166667,1.009651968,0.063908624,0.000616844,-0.011719631,,
116,강원,인제군,2016,264,137,127,6,2015,267,134,133,422114,435131,0.970084871,0.988764045,1.019255196,0.062542346,0.001204265,0.014371551,,
117,강원,인제군,2017,300,163,137,6,2016,306,162,144,445571,460063,0.968499966,0.980392157,1.012278979,0.067329337,0.000826736,-0.002396988,,
118,강원,인제군,2018,253,152,101,6,2017,262,152,110,447106,462352,0.967025124,0.965648855,0.998576801,0.056586134,-8.05E-05,-0.042694679,,
119,강원,인제군,2019,274,140,134,6,2018,288,146,142,462528,478982,0.965647978,0.951388889,0.985233657,0.059239657,-0.000874753,-0.077971131,,
120,강원,인제군,2020,251,123,128,6,2019,261,130,131,417119,431843,0.965904275,0.961685824,0.99563264,0.060174674,-0.000262804,-0.050790523,,
121,강원,정선군,2009,301,156,145,6,2008,328,173,155,462768,488710,0.946917395,0.917682927,0.969126697,0.065043391,-0.002008104,-0.128310609,,
122,강원,정선군,2010,251,125,126,6,2009,256,127,129,470657,487028,0.966385916,0.98046875,1.014572681,0.053329707,0.000777157,-0.004599099,,
123,강원,정선군,2011,256,142,114,6,2010,263,139,124,441332,457372,0.964930079,0.97338403,1.008761206,0.058006218,0.000508204,-0.016545018,,
124,강원,정선군,2012,255,124,131,6,2011,270,134,136,407210,420797,0.967711272,0.944444444,0.97595685,0.062621252,-0.001505612,-0.105991672,,
125,강원,정선군,2013,227,112,115,6,2012,233,113,120,422944,435284,0.971650692,0.974248927,1.002674042,0.053671408,0.00014352,-0.032743037,,
126,강원,정선군,2014,289,148,141,6,2013,288,151,137,465061,480776,0.96731326,1.003472222,1.037380819,0.062142386,0.002322933,0.064058858,,
127,강원,정선군,2015,238,114,124,6,2014,250,118,132,441255,454993,0.969806129,0.952,0.981639496,0.053937066,-0.000990312,-0.083103837,,
128,강원,정선군,2016,267,143,124,6,2015,276,149,127,422114,435131,0.970084871,0.967391304,0.99722337,0.063253055,-0.00017563,-0.046918554,,
129,강원,정선군,2017,262,134,128,6,2016,265,135,130,445571,460063,0.968499966,0.988679245,1.020835601,0.058800954,0.001225153,0.015299327,,
130,강원,정선군,2018,218,108,110,6,2017,220,108,112,447106,462352,0.967025124,0.990909091,1.024698394,0.048758013,0.001204245,0.014370639,,
131,강원,정선군,2019,251,136,115,6,2018,256,141,115,462528,478982,0.965647978,0.98046875,1.015348007,0.054266985,0.00083289,-0.002123625,,
132,강원,정선군,2020,187,95,92,6,2019,184,93,91,417119,431843,0.965904275,1.016304348,1.052179159,0.044831331,0.002339261,0.064784085,,
133,강원,철원군,2009,488,245,243,6,2008,507,258,249,462768,488710,0.946917395,0.962524655,1.016482177,0.105452408,0.001738085,0.038081965,,
134,강원,철원군,2010,416,216,200,6,2009,438,225,213,470657,487028,0.966385916,0.949771689,0.982807876,0.088387084,-0.001519562,-0.106611264,,
135,강원,철원군,2011,432,241,191,6,2010,440,243,197,441332,457372,0.964930079,0.981818182,1.017501893,0.097885492,0.001713181,0.036975824,,
136,강원,철원군,2012,402,200,202,6,2011,399,193,206,407210,420797,0.967711272,1.007518797,1.041135746,0.098720562,0.004060944,0.141255185,,
137,강원,철원군,2013,441,225,216,6,2012,454,231,223,422944,435284,0.971650692,0.971365639,0.999706629,0.104269123,-3.06E-05,-0.04047635,,
138,강원,철원군,2014,427,216,211,6,2013,437,221,216,465061,480776,0.96731326,0.977116705,1.010134715,0.091815912,0.000930528,0.002213116,,
139,강원,철원군,2015,418,221,197,6,2014,429,226,203,441255,454993,0.969806129,0.974358974,1.004694593,0.094729805,0.000444718,-0.019364866,,
140,강원,철원군,2016,361,184,177,6,2015,367,189,178,422114,435131,0.970084871,0.983651226,1.01398471,0.085521921,0.001195999,0.014004409,,
141,강원,철원군,2017,371,200,171,6,2016,387,207,180,445571,460063,0.968499966,0.958656331,0.989836205,0.083263947,-0.000846278,-0.076706355,,
142,강원,철원군,2018,359,200,159,6,2017,364,199,165,447106,462352,0.967025124,0.986263736,1.019894636,0.080294158,0.001597423,0.031834243,,
143,강원,철원군,2019,336,160,176,6,2018,374,185,189,462528,478982,0.965647978,0.898395722,0.930355308,0.072644251,-0.005059287,-0.263833396,,
144,강원,철원군,2020,301,141,160,6,2019,304,149,155,417119,431843,0.965904275,0.990131579,1.02508251,0.072161661,0.001809996,0.041275969,,
145,강원,춘천시,2009,2659,1413,1246,6,2008,2767,1465,1302,462768,488710,0.946917395,0.960968558,1.014838848,0.57458597,0.008526194,0.339585888,,
146,강원,춘천시,2010,2590,1314,1276,6,2009,2647,1340,1307,470657,487028,0.966385916,0.978466188,1.012500464,0.550294588,0.006878937,0.266420549,,
147,강원,춘천시,2011,2406,1264,1142,6,2010,2511,1319,1192,441332,457372,0.964930079,0.95818399,0.993008728,0.54516781,-0.003811416,-0.208407387,,
148,강원,춘천시,2012,2418,1265,1153,6,2011,2451,1284,1167,407210,420797,0.967711272,0.986536108,1.019452947,0.593796812,0.011551098,0.473941493,,
149,강원,춘천시,2013,2271,1199,1072,6,2012,2304,1211,1093,422944,435284,0.971650692,0.985677083,1.014435631,0.536950518,0.00775122,0.305164255,,
150,강원,춘천시,2014,2517,1289,1228,6,2013,2593,1326,1267,465061,480776,0.96731326,0.97069032,1.003491175,0.541219324,0.001889491,0.044806892,,
151,강원,춘천시,2015,2436,1277,1159,6,2014,2454,1277,1177,441255,454993,0.969806129,0.992665037,1.023570595,0.552061733,0.013012424,0.538848449,,
152,강원,춘천시,2016,2297,1190,1107,6,2015,2344,1219,1125,422114,435131,0.970084871,0.979948805,1.010168115,0.544165794,0.00553314,0.206644972,,
153,강원,춘천시,2017,2485,1289,1196,6,2016,2551,1323,1228,445571,460063,0.968499966,0.974127793,1.005810869,0.557711341,0.003240788,0.104826726,,
154,강원,춘천시,2018,2570,1337,1233,6,2017,2643,1382,1261,447106,462352,0.967025124,0.972379871,1.005537341,0.574807764,0.003182906,0.102255845,,
155,강원,춘천시,2019,2544,1308,1236,6,2018,2615,1338,1277,462528,478982,0.965647978,0.972848948,1.007457138,0.550020756,0.004101581,0.143060117,,
156,강원,춘천시,2020,2377,1212,1165,6,2019,2448,1237,1211,417119,431843,0.965904275,0.970996732,1.005272217,0.569861359,0.003004433,0.094328661,,
157,강원,태백시,2009,472,235,237,6,2008,498,237,261,462768,488710,0.946917395,0.947791165,1.000922752,0.101994952,9.41E-05,-0.034937369,,
158,강원,태백시,2010,437,224,213,6,2009,463,233,230,470657,487028,0.966385916,0.943844492,0.976674511,0.092848932,-0.002165747,-0.13531253,,
159,강원,태백시,2011,397,195,202,6,2010,414,204,210,441332,457372,0.964930079,0.958937198,0.993789311,0.089954955,-0.000558682,-0.063932375,,
160,강원,태백시,2012,406,221,185,6,2011,416,222,194,407210,420797,0.967711272,0.975961538,1.008525546,0.099702856,0.000850021,-0.001362716,,
161,강원,태백시,2013,415,196,219,6,2012,423,206,217,422944,435284,0.971650692,0.98108747,1.00971211,0.098121737,0.000952969,0.003209863,,
162,강원,태백시,2014,449,244,205,6,2013,459,249,210,465061,480776,0.96731326,0.978213508,1.011268581,0.096546475,0.001087942,0.009204875,,
163,강원,태백시,2015,399,204,195,6,2014,416,214,202,441255,454993,0.969806129,0.959134615,0.98899624,0.090423905,-0.000995003,-0.083312205,,
164,강원,태백시,2016,399,189,210,6,2015,397,190,207,422114,435131,0.970084871,1.005037783,1.036030778,0.094524228,0.003405781,0.112155168,,
165,강원,태백시,2017,397,193,204,6,2016,421,207,214,445571,460063,0.968499966,0.942992874,0.973663301,0.089099156,-0.002346578,-0.143344404,,
166,강원,태백시,2018,373,181,192,6,2017,378,182,196,447106,462352,0.967025124,0.986772487,1.020420734,0.083425407,0.001703608,0.036550609,,
167,강원,태백시,2019,360,179,181,6,2018,371,182,189,462528,478982,0.965647978,0.970350404,1.00486971,0.077833126,0.000379025,-0.022282725,,
